,name,track_id,album,artist,artist_id,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,playlist
25,Here With Me,78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,5y8tKLUfMvliMe8IKamR32,2022-09-22,242484,92,81,['bedroom pop'],0.534,0.574,0.469,9.21e-05,0.128,-8.209,0.0254,132.023,0.288,4,1,4,Today's Top Hits
26,Under The Influence,5IgjP7X4th6nMNDh4akUHb,Indigo (Extended),Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2019-10-04,184613,95,89,"['dance pop', 'r&b']",0.0635,0.733,0.69,1.18e-06,0.105,-5.529,0.0427,116.992,0.31,9,0,4,Today's Top Hits
27,La Bachata,5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,2022-05-26,162637,98,85,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",0.583,0.835,0.679,1.98e-06,0.218,-5.329,0.0364,124.98,0.85,7,0,4,Today's Top Hits
28,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],1RDvyOk4WtPCtoqciJwVn8,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,6HaGTQPmzraVmaVxvz6EUc,2022-11-20,201391,93,80,['k-pop'],0.158,0.71,0.879,0.00142,0.439,-4.218,0.0422,114.993,0.341,0,1,4,Today's Top Hits
29,Bones,0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,2022-03-11,165264,89,89,"['modern rock', 'rock']",0.0206,0.773,0.742,0.0,0.0754,-3.678,0.046,114.071,0.571,5,0,4,Today's Top Hits
30,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,2022-04-22,228013,89,83,['oklahoma country'],0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,0.148,4,0,3,Today's Top Hits
31,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,35ovElsgyAtQwYPYnZJECg,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2022-10-28,196519,90,90,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",0.899,0.247,0.299,0.0,0.131,-6.083,0.0315,177.115,0.172,9,1,4,Today's Top Hits
32,10:35,6BePGk3eCan4FqaW2X8Qy3,10:35,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,2022-11-03,172252,87,84,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",0.0683,0.696,0.793,3.78e-06,0.18,-5.733,0.097,120.003,0.698,8,1,4,Today's Top Hits
33,SNAP,76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,46xBNx0j6cwY6sD9LgMTm1,2022-03-19,179551,93,77,['alt z'],0.107,0.565,0.636,9.9e-06,0.447,-8.198,0.0638,170.01,0.525,0,1,4,Today's Top Hits
34,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,2021-09-01,177720,89,79,"['gen z singer-songwriter', 'pop']",0.727,0.539,0.508,0.0,0.174,-6.05,0.0288,101.358,0.227,10,1,3,Today's Top Hits
35,Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,2022-05-06,182906,87,88,"['dance pop', 'pop']",0.0777,0.801,0.601,3.23e-05,0.145,-7.574,0.255,159.969,0.74,8,0,4,Today's Top Hits
36,Just Wanna Rock,4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,2022-10-17,123890,91,87,"['melodic rap', 'philly rap', 'rap', 'trap']",0.0652,0.486,0.545,0.00474,0.0642,-7.924,0.0336,150.187,0.0385,11,1,4,Today's Top Hits
37,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,Steve Lacy,57vWImR43h4CaDao012Ofp,2022-06-29,232114,90,85,['afrofuturism'],0.626,0.686,0.507,7.51e-05,0.383,-7.097,0.0357,168.955,0.69,1,1,4,Today's Top Hits
38,Boy's a liar,3NanY0K4okhIQzL33U5Ad8,Boy's a liar,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,2022-11-30,131253,84,76,[],0.25,0.656,0.838,0.00281,0.207,-8.407,0.041,132.981,0.74,5,1,4,Today's Top Hits
39,Die For You,26hOm7dTtBi0TdpDGl141t,SMITHEREENS,Joji,3MZsBdqDrRTJihTHQrO6Dq,2022-11-04,211666,90,87,['viral pop'],0.383,0.472,0.518,0.127,0.289,-7.379,0.051,147.805,0.154,8,1,4,Today's Top Hits
40,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,56oDRnqbIiwx4mymNEv7dS,2022-04-14,191822,86,79,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",0.0995,0.836,0.743,0.0,0.335,-6.305,0.0656,108.966,0.722,10,0,4,Today's Top Hits
41,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,2022-08-12,170977,87,86,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",0.0645,0.95,0.891,1.77e-05,0.309,-2.653,0.241,133.01,0.912,2,1,4,Today's Top Hits
42,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,2022-06-24,154486,87,84,"['dance pop', 'pop', 'viral pop']",0.619,0.881,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,0.719,2,1,4,Today's Top Hits
43,Pointless,4JBiO7wRnE6ueszEUpo347,Pointless,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2022-12-02,228988,83,82,"['pop', 'uk pop']",0.0686,0.325,0.59,0.0,0.104,-3.943,0.0495,180.449,0.278,4,1,3,Today's Top Hits
44,How Do I Say Goodbye,5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,2022-08-31,163603,87,79,"['australian pop', 'pop']",0.214,0.4,0.641,0.0,0.0656,-6.303,0.0674,81.552,0.393,8,1,4,Today's Top Hits
45,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,2021-07-09,141805,88,82,"['australian hip hop', 'pop']",0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478,1,1,4,Today's Top Hits
46,Evergreen (You Didn’t Deserve Me At All),2TktkzfozZifbQhXjT6I33,Ivory,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,2022-04-08,216680,87,75,"['bedroom pop', 'bedroom soul', 'pop']",0.598,0.697,0.336,0.00528,0.107,-10.395,0.0424,82.029,0.31,9,1,3,Today's Top Hits
47,THE LONELIEST,1Ame8XTX6QHY0l0ahqUhgv,THE LONELIEST,Måneskin,0lAWpj5szCSwM4rUMHYmrr,2022-10-07,247067,87,80,"['indie rock italiano', 'italian pop']",0.00151,0.519,0.595,0.0,0.0762,-5.001,0.0283,129.786,0.237,2,1,4,Today's Top Hits
48,Shut Down,0ARKW62l9uWIDYMZTUmJHF,BORN PINK,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,2022-09-16,175889,83,86,"['k-pop', 'k-pop girl group']",0.00412,0.82,0.686,0.0,0.184,-5.102,0.038,110.058,0.668,0,1,3,Today's Top Hits
49,"Quevedo: Bzrp Music Sessions, Vol. 52",2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,716NhGYqD1jl2wI1Qkgq36,2022-07-06,198937,97,86,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,0.55,2,1,4,Today's Top Hits
50,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,221520,93,91,['rap'],0.417,0.715,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,1,0,4,Hot Hits USA
51,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,SOS,SZA,7tYKF4w9nC0nq9CsPZTHyP,2022-12-08,153946,83,94,"['pop', 'r&b']",0.0521,0.644,0.735,0.144,0.161,-5.747,0.0391,88.98,0.418,8,1,4,Hot Hits USA
52,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,Midnights,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2022-10-21,200690,97,100,['pop'],0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,4,1,4,Hot Hits USA
53,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,Steve Lacy,57vWImR43h4CaDao012Ofp,2022-06-29,232114,90,85,['afrofuturism'],0.626,0.686,0.507,7.51e-05,0.383,-7.097,0.0357,168.955,0.69,1,1,4,Hot Hits USA
54,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith,2wY79sveU1sp5g7SokKOiI,2022-09-22,156943,100,89,"['dance pop', 'pop', 'uk pop']",0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,0.238,2,1,4,Hot Hits USA
55,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,Her Loss,Drake,3TVXtAsR1Inumwj472S9r4,2022-11-04,239359,96,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.0503,0.561,0.52,1.86e-06,0.355,-9.342,0.244,153.15,0.424,11,0,3,Hot Hits USA
56,Just Wanna Rock,4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,2022-10-17,123890,91,87,"['melodic rap', 'philly rap', 'rap', 'trap']",0.0652,0.486,0.545,0.00474,0.0642,-7.924,0.0336,150.187,0.0385,11,1,4,Hot Hits USA
57,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,2021-09-01,177720,89,79,"['gen z singer-songwriter', 'pop']",0.727,0.539,0.508,0.0,0.174,-6.05,0.0288,101.358,0.227,10,1,3,Hot Hits USA
58,Nobody Gets Me,5Y35SjAfXjjG0sFQ3KOxmm,SOS,SZA,7tYKF4w9nC0nq9CsPZTHyP,2022-12-09,180853,90,94,"['pop', 'r&b']",0.805,0.358,0.284,0.0,0.183,-8.285,0.0285,99.796,0.276,7,1,3,Hot Hits USA
59,As It Was,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,2022-03-31,167303,93,90,['pop'],0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,6,0,4,Hot Hits USA
60,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,5y8tKLUfMvliMe8IKamR32,2022-07-20,132630,94,81,['bedroom pop'],0.453,0.571,0.544,0.00805,0.322,-10.613,0.0299,132.052,0.216,6,1,4,Hot Hits USA
61,Superhero (Heroes & Villains) [with Future & Chris Brown],0vjeOZ3Ft5jvAi9SBFJm1j,HEROES & VILLAINS,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,182666,88,91,['rap'],0.152,0.526,0.606,2.36e-06,0.194,-5.3,0.259,116.622,0.492,5,0,4,Hot Hits USA
62,DESPECHÁ RMX,4CD623yLJVvKJxUyzaTqtC,DESPECHÁ RMX,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,2022-12-16,170827,76,85,['r&b en espanol'],0.235,0.954,0.582,1.26e-06,0.0572,-5.744,0.0727,130.008,0.884,9,0,4,Hot Hits USA
63,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2022-08-26,175238,97,89,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,0.304,7,0,4,Hot Hits USA
64,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,Starboy,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2016-11-25,260253,89,96,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.111,0.582,0.525,0.0,0.134,-7.163,0.0627,133.249,0.51,1,0,4,Hot Hits USA
65,La Jumpa,5MxFWjuqQIsbNWbMdMdbli,La Jumpa,Arcángel,4SsVbpTthjScTS7U2hmr1X,2022-11-30,255693,91,86,"['latin hip hop', 'reggaeton', 'urbano latino']",0.298,0.713,0.703,0.0,0.321,-5.769,0.194,123.06,0.576,8,1,4,Hot Hits USA
66,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,RENAISSANCE,Beyoncé,6vWDO969PvNqNYHIOW5v0m,2022-07-29,225388,93,87,"['dance pop', 'pop', 'r&b']",0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,0.642,7,1,4,Hot Hits USA
67,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,2022-04-22,228013,89,83,['oklahoma country'],0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,0.148,4,0,3,Hot Hits USA
68,Made You Look,0QHEIqNKsMoOY5urbzN48u,Takin' It Back,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,2022-10-21,134256,95,85,"['dance pop', 'hip pop', 'pop']",0.345,0.838,0.525,1.92e-06,0.0771,-3.562,0.0665,144.981,0.884,10,1,4,Hot Hits USA
69,Did you know that there's a tunnel under Ocean Blvd,5U1OEoEW4xnalSAToamwZL,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2022-12-07,285050,82,90,"['art pop', 'pop']",0.794,0.431,0.34,0.0108,0.12,-9.384,0.0311,119.877,0.0529,0,1,4,Hot Hits USA
70,golden hour,5odlY52u43F5BjByhxg7wg,this is what ____ feels like (Vol. 1-4),JVKE,164Uj4eKjl6zTBKfJLFKKK,2022-09-23,209259,90,80,['modern indie pop'],0.653,0.515,0.593,0.162,0.25,-4.801,0.0322,94.467,0.153,4,1,3,Hot Hits USA
71,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,2022-05-13,148485,95,85,"['piano rock', 'pop']",0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,139.994,0.825,0,1,4,Hot Hits USA
72,Nonsense,6dgUya35uo964z7GZXM07g,emails i can't send,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,2022-07-15,163648,83,78,"['alt z', 'dance pop', 'pop', 'post-teen pop']",0.0268,0.74,0.697,0.0,0.224,-4.912,0.034,138.992,0.732,8,1,4,Hot Hits USA
73,10:35,6BePGk3eCan4FqaW2X8Qy3,10:35,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,2022-11-03,172252,87,84,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",0.0683,0.696,0.793,3.78e-06,0.18,-5.733,0.097,120.003,0.698,8,1,4,Hot Hits USA
74,Miss You,73vIOb4Q7YN6HeJTbscRx5,Miss You,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,2022-08-05,206000,94,83,['alternative hip hop'],0.0128,0.587,0.742,0.00107,0.146,-6.64,0.0529,145.007,0.199,6,0,4,Hot Hits USA
75,Escapism.,5Z2MiIZ5I3jJvvmeWMLbOQ,Escapism. / The Thrill Is Gone.,RAYE,5KKpBU5eC2tJDzf0wmlRp2,2022-10-12,272373,89,78,"['dance pop', 'pop', 'uk contemporary r&b', 'uk pop']",0.138,0.538,0.742,4.67e-05,0.0934,-5.355,0.114,96.107,0.25,2,1,4,Hot Hits USA
76,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,Un Verano Sin Ti,Bad Bunny,4q3ewBCX7sLwd24euuV69X,2022-05-06,243716,95,99,"['reggaeton', 'trap latino', 'urbano latino']",0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,0.187,5,0,4,Hot Hits USA
77,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,Twelve Carat Toothache,Post Malone,246dkjvS1zLTtiykXe5h60,2022-06-03,192840,89,89,"['dfw rap', 'melodic rap', 'rap']",0.121,0.733,0.67,0.0,0.121,-6.009,0.0751,100.964,0.472,5,1,4,Hot Hits USA
78,SPIT IN MY FACE!,7yBEKiv1LmO7GM4rOejhcW,SPIT IN MY FACE!,ThxSoMch,4MvZhE1iuzttcoyepkpfdF,2022-11-01,147874,84,72,[],0.0464,0.73,0.785,0.0227,0.111,-6.512,0.055,94.107,0.652,8,1,4,Hot Hits USA
79,Here With Me,78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,5y8tKLUfMvliMe8IKamR32,2022-09-22,242484,92,81,['bedroom pop'],0.534,0.574,0.469,9.21e-05,0.128,-8.209,0.0254,132.023,0.288,4,1,4,Hot Hits USA
80,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,Midnights,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2022-10-21,174782,90,100,['pop'],0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,139.865,0.23,0,1,4,Hot Hits USA
81,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,Big Energy,Latto,3MdXrJWsbVzdn6fe5JYkSQ,2021-09-24,173182,76,72,"['pop', 'rap', 'trap queen']",0.0514,0.935,0.807,0.0,0.349,-3.838,0.114,106.017,0.813,11,0,4,Hot Hits USA
82,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,"Honestly, Nevermind",Drake,3TVXtAsR1Inumwj472S9r4,2022-06-17,218364,90,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.000307,0.529,0.673,2.41e-06,0.093,-4.711,0.175,165.921,0.366,0,1,4,Hot Hits USA
83,The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa,The Kind of Love We Make,Luke Combs,718COspgdWOnwOFpJHRZHS,2022-06-17,224426,79,82,"['contemporary country', 'country']",0.0226,0.608,0.745,6.47e-06,0.0942,-4.13,0.0277,102.025,0.464,1,1,4,Hot Hits USA
84,Sunroof,4h4QlmocP3IuwYEj2j14p8,Sunroof,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,2021-12-03,163025,89,73,['pop'],0.352,0.768,0.714,0.0,0.15,-5.11,0.0401,131.443,0.842,10,1,4,Hot Hits USA
