,name,track_id,album,artist,artist_id,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,playlist
10,Yacht Club (feat. Juice WRLD),5R2rsbwCDXORX2tLfprRmM,Nuthin' 2 Prove,Lil Yachty,6icQOAFXDZKsumw3YXyusw,2018-10-19,166343,73,78,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap']",0.317,0.721,0.508,0.0,0.153,-7.496,0.394,159.911,0.457,7,1,4,but my feet in bottega
11,In My Head,6JS7gLuqIg5uPELAYBwxEq,Analogue,ODIE,5aMIbwZQvP2MHPMVC5zCGj,2018-04-06,225830,53,63,"['canadian contemporary r&b', 'indie r&b']",0.79,0.635,0.214,0.00107,0.147,-13.984,0.0295,81.015,0.322,0,1,4,but my feet in bottega
12,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,I NEVER LIKED YOU,Future,1RyvyyTE3xzB2ZywiAwp0i,2022-04-29,189893,88,90,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",0.314,0.463,0.642,0.0,0.0686,-4.474,0.34,83.389,0.339,1,1,4,but my feet in bottega
13,Rain,5R6Q2E0wC10LDfrLLcKtwD,Backward Books 2,Azizi Gibson,2NjfafEappzvGGGDdMRJMP,2018-10-05,179076,54,52,"['dark trap', 'underground hip hop']",0.215,0.711,0.549,0.0,0.0824,-6.951,0.049,130.045,0.443,4,1,4,but my feet in bottega
14,Blastoff (feat. Juice Wrld & Trippie Redd),7dH9TPjTWQ60wOJkmYay8a,B4 The Storm,Internet Money,6MPCFvOQv5cIGfw3jODMF0,2020-08-28,174729,68,72,"['pop rap', 'rap', 'trap', 'viral rap']",0.114,0.761,0.517,0.0,0.157,-6.916,0.0927,147.912,0.46,5,1,4,but my feet in bottega
15,ON GOD (feat. Young Thug),5euYMGygjq2IAfpzOD08Qb,Death Race For Love (Bonus Track Version),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2019-03-08,250271,62,91,"['chicago rap', 'melodic rap']",0.0926,0.798,0.723,0.0,0.112,-6.231,0.0601,145.992,0.338,5,0,4,but my feet in bottega
16,In My Room,4S4Mfvv03M1cHgIOJcbUCL,In My Room,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2019-11-02,133680,79,84,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",0.594,0.861,0.647,0.661,0.114,-7.425,0.0675,158.037,0.67,7,1,4,but my feet in bottega
17,Savior,0YeUVm23SAkUruwEx9LWnt,Mr. Morale & The Big Steppers,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2022-05-13,224466,14,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.495,0.605,0.692,0.0,0.303,-7.45,0.446,124.84,0.685,8,1,5,but my feet in bottega
18,DENY (feat. Tyla Yaweh),2OGfK0dPkEdALPwrmYXrVE,DUSK to DAWN,Boslen,7mX72Bq2iXNr8fZdu23fQL,2021-08-24,191777,52,54,"['bc underground hip hop', 'canadian hip hop', 'indie hip hop', 'trap soul', 'underground hip hop']",0.356,0.736,0.697,0.0,0.176,-5.393,0.0558,75.006,0.387,8,1,4,but my feet in bottega
19,Silent Hill,3lzUeaCbcCDB5IXYfqWRlF,Mr. Morale & The Big Steppers,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2022-05-13,220779,76,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.438,0.907,0.577,3.19e-05,0.137,-6.737,0.0767,140.07,0.801,1,0,4,but my feet in bottega
20,Break from Toronto,79MSEdtXuudhGhC5AtG07g,PARTYNEXTDOOR,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,2013-07-01,99213,84,78,"['pop', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",0.0199,0.596,0.678,0.004,0.418,-5.18,0.0335,117.066,0.259,9,1,4,but my feet in bottega
21,Litty (feat. DaBaby),2Zza7LeJBNz3R2xprlfrFS,Slime Language 2 (Deluxe),Young Stoner Life,1xr2G8Hlx4QWmT9HaUbmoO,2021-04-16,216053,45,65,"['hip hop', 'rap', 'southern hip hop', 'trap']",0.0597,0.894,0.472,0.0,0.139,-9.837,0.307,139.977,0.464,4,1,4,but my feet in bottega
22,Moonwalk,0bJQ2EJndGgy6gN63wSHty,Father Figure 3: Somewhere Out There,Rexx Life Raj,5rDXcEIODl8TgGTgrntnjX,2019-11-06,166457,55,56,"['cali rap', 'pop rap', 'trap soul', 'underground hip hop']",0.411,0.706,0.48,0.0,0.103,-10.421,0.298,75.05,0.682,0,1,4,but my feet in bottega
23,Goldmine,6PhMHHmpK37QUV7KYkJxXn,MAYBE NEXT YEAR,Justin Stone,5Vu87j6vCvfwc7FNVGnBwk,2022-06-03,128000,52,57,"['pop rap', 'sad rap']",0.674,0.696,0.53,2.85e-05,0.179,-8.977,0.138,75.03,0.252,9,1,4,but my feet in bottega
24,The Best Part of Life,0kUz4NuENHYVUChlthlNaB,The Best Part of Life,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,2021-12-17,196873,66,71,"['melodic rap', 'rap', 'slap house', 'trap']",0.0676,0.393,0.724,0.0,0.205,-5.54,0.0825,89.684,0.147,4,1,5,but my feet in bottega
25,In My Head,2RJAKIw6nIkgZVsAIKhmqz,In My Head,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2022-10-28,192000,83,91,"['chicago rap', 'melodic rap']",0.269,0.633,0.548,0.0,0.16,-5.634,0.0467,160.011,0.35,5,0,4,but my feet in bottega
26,be cautious,6UoiWAX48qnl4z24b1KEot,Thank You For Believing,Toosii,6BH1xcDkwbbyrLMUKECsW1,2021-05-07,180141,45,65,"['north carolina hip hop', 'pop r&b']",0.227,0.647,0.538,0.0,0.297,-9.572,0.161,159.996,0.161,5,0,4,but my feet in bottega
27,Crew Love,0V4l4GQhgnWQGtCWpvA7va,Take Care (Deluxe),Drake,3TVXtAsR1Inumwj472S9r4,2011-11-15,208813,72,98,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.227,0.418,0.546,0.0,0.229,-9.057,0.238,160.152,0.294,0,0,4,but my feet in bottega
28,For The Squadron,1Am6QnI4dZi0bkXeJXwW6P,For The Squadron,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,2022-02-18,188854,58,71,"['melodic rap', 'rap', 'slap house', 'trap']",0.0178,0.765,0.402,1.84e-05,0.11,-6.387,0.0557,87.054,0.353,6,1,4,but my feet in bottega
29,Toxic,557DLyFeg06jCV2cpT005C,Toxic,YG,0A0FS04o6zMoto8OKPsDwY,2022-08-12,213288,67,76,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.384,0.688,0.478,0.0,0.0975,-7.04,0.202,99.998,0.444,10,0,4,but my feet in bottega
30,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,GO:OD AM,Mac Miller,4LLpKhyESsyAXpc4laK94U,2015-09-18,208080,78,84,"['hip hop', 'pittsburgh rap', 'rap']",0.47,0.843,0.435,0.0,0.147,-8.442,0.178,120.058,0.19,8,1,4,but my feet in bottega
31,Empty,6gSw5vz7dcafda23VqMrnl,American Boyfriend: A Suburban Love Story,Kevin Abstract,07EcmJpfAday8xGkslfanE,2016-11-18,194336,58,58,"['afrofuturism', 'hip hop', 'lgbtq+ hip hop', 'rap']",0.162,0.59,0.498,0.0,0.0947,-6.845,0.0827,80.022,0.504,9,1,4,but my feet in bottega
32,Cigarettes,42Xba467wgGvYrR2EE6s0i,Cigarettes,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2022-02-02,227527,2,91,"['chicago rap', 'melodic rap']",0.0303,0.597,0.615,0.0,0.378,-6.346,0.0421,160.014,0.467,2,1,4,but my feet in bottega
33,You Wouldn't Understand,0veO6y9anwdVTaRuW7y8NJ,Fighting Demons (Deluxe),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2022-03-18,170791,67,91,"['chicago rap', 'melodic rap']",0.0012,0.724,0.748,0.0,0.132,-4.335,0.0722,158.04,0.118,4,0,4,but my feet in bottega
34,Antisocial (feat. Juice WRLD),3lakLxKgelrvKBTyGwDXhX,Culture III,Migos,6oMuImdp5ZcFhWP0ESe6mG,2021-06-11,262340,58,79,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",0.784,0.667,0.39,0.0,0.121,-10.687,0.0491,140.033,0.528,5,0,4,but my feet in bottega
35,Internet,0KAzP1Rbp0Vz5pw8i1KDDI,Hollywood's Bleeding,Post Malone,246dkjvS1zLTtiykXe5h60,2019-09-06,123386,60,89,"['dfw rap', 'melodic rap', 'rap']",0.841,0.469,0.489,0.0,0.103,-6.071,0.0314,74.013,0.201,0,1,4,but my feet in bottega
36,Wedding Day,4FgOFhLOz8kJwWuHE58HVw,Ghetto Lenny's Love Songs,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,2019-08-23,196302,51,71,"['melodic rap', 'rap', 'slap house', 'trap']",0.0387,0.646,0.6,1.49e-06,0.119,-5.418,0.0821,160.106,0.514,0,1,4,but my feet in bottega
37,Paranoid,3fpVWegR6YOS1Yk5HSMYIq,beerbongs & bentleys,Post Malone,246dkjvS1zLTtiykXe5h60,2018-04-27,221786,67,89,"['dfw rap', 'melodic rap', 'rap']",0.038,0.625,0.536,2.31e-05,0.167,-5.428,0.0776,159.914,0.253,0,1,4,but my feet in bottega
38,Waiting For Never,753lkDSNs2u188xbl8Vrnx,Twelve Carat Toothache (Deluxe),Post Malone,246dkjvS1zLTtiykXe5h60,2022-06-07,196986,71,89,"['dfw rap', 'melodic rap', 'rap']",0.115,0.593,0.834,0.0,0.191,-3.738,0.0424,151.944,0.555,10,1,4,but my feet in bottega
39,High Right Now (feat. Wiz Khalifa) - Remix,5DPASDOoVakOcD8EIhb46T,High Right Now (feat. Wiz Khalifa) [Remix],Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,2020-01-31,175759,66,62,"['cali rap', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']",0.0127,0.737,0.548,9.76e-06,0.176,-7.003,0.0498,160.058,0.156,4,0,4,but my feet in bottega
40,Rich & Sad,2VdT56BGpdqNHUgOe1j5vc,beerbongs & bentleys,Post Malone,246dkjvS1zLTtiykXe5h60,2018-04-27,206453,69,89,"['dfw rap', 'melodic rap', 'rap']",0.198,0.599,0.571,0.0,0.0969,-4.998,0.0665,151.974,0.285,2,1,4,but my feet in bottega
41,Life's A Mess (feat. Halsey),5wWAwzGp2OaaoIkwcz6wZs,Legends Never Die,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2020-07-10,202193,73,91,"['chicago rap', 'melodic rap']",0.337,0.63,0.446,0.0,0.166,-8.9,0.0351,143.078,0.177,1,1,4,but my feet in bottega
42,Rich And Blind,6QNFQJKlZUKr0xlGZ74CZJ,Rich And Blind,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2018-06-22,228720,68,91,"['chicago rap', 'melodic rap']",0.0102,0.638,0.624,0.0,0.0944,-5.37,0.0798,159.937,0.445,10,1,4,but my feet in bottega
43,commas,3CV5fTPdh7g5XOwjeXGmDJ,commas,mike.,5G9kmDLg3OeUyj8KVBLzbu,2022-03-11,140869,62,68,"['indie pop rap', 'pop rap', 'rhode island rap']",0.216,0.715,0.481,1.47e-06,0.107,-9.186,0.0548,92.004,0.264,1,0,4,but my feet in bottega
44,Home Ain't Home (feat. Rod Wave),0oPpchtgx4hZ2J246g5mqn,The Last Slimeto,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,2022-08-05,141166,70,85,"['baton rouge rap', 'trap']",0.424,0.773,0.602,0.0,0.125,-6.777,0.173,82.055,0.553,0,1,4,but my feet in bottega
45,Stay High,21CkzgKCBCq5V4XKjiGSIj,Legends Never Die,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2020-07-10,168684,76,91,"['chicago rap', 'melodic rap']",0.439,0.745,0.5,0.0,0.0943,-6.184,0.135,76.968,0.433,8,1,4,but my feet in bottega
46,Don't Forget Me,3KCdyM6vGYY4rU15dezvrJ,Perfect Storm,Yatta Bandz,3n8GvDXY1OgG57akv31SHK,2022-05-06,157056,62,63,[],0.173,0.77,0.349,0.0,0.116,-12.085,0.331,80.0,0.754,0,0,4,but my feet in bottega
47,2009,6dFn6my1sHK2bcf23GlHwM,Swimming,Mac Miller,4LLpKhyESsyAXpc4laK94U,2018-08-03,347986,70,84,"['hip hop', 'pittsburgh rap', 'rap']",0.77,0.533,0.496,0.000164,0.0969,-9.363,0.517,155.158,0.173,6,0,4,but my feet in bottega
48,Go Flex,5yuShbu70mtHXY0yLzCQLQ,Stoney (Deluxe),Post Malone,246dkjvS1zLTtiykXe5h60,2016-12-09,179613,78,89,"['dfw rap', 'melodic rap', 'rap']",0.228,0.665,0.498,0.0,0.0757,-8.185,0.0832,81.967,0.127,5,1,4,but my feet in bottega
49,Switch,29ZZAShKhwRUuKULSNtxX6,East Atlanta Love Letter,6LACK,4IVAbR2w4JJNJDDRFP3E83,2018-09-14,207071,62,76,"['atl hip hop', 'hip hop', 'melodic rap', 'pop', 'r&b', 'rap', 'trap']",0.0409,0.66,0.658,0.00595,0.102,-6.127,0.0387,176.701,0.153,7,1,4,but my feet in bottega
50,I Cannot Be (A Sadder Song) (with Gunna),4IxeKzzxUSEgivgtbSbyIK,Twelve Carat Toothache,Post Malone,246dkjvS1zLTtiykXe5h60,2022-06-03,169824,69,89,"['dfw rap', 'melodic rap', 'rap']",0.0712,0.517,0.668,0.0,0.407,-6.012,0.116,79.782,0.646,1,1,4,but my feet in bottega
51,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,0LyfQWJT6nXafLPZqxe9Of,2018-12-14,205800,76,91,"['chicago rap', 'melodic rap']",0.0622,0.715,0.639,0.0,0.157,-5.017,0.0752,149.996,0.151,5,0,4,but my feet in bottega
52,Waves,3nAq2hCr1oWsIU54tS98pL,The Life Of Pablo,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2016-06-10,181573,73,91,"['chicago rap', 'rap']",0.0528,0.557,0.586,7.33e-06,0.339,-4.57,0.0382,96.091,0.0681,10,1,4,but my feet in bottega
53,Fast,5WQrDB34o6M8V0jxNiX6RU,Death Race For Love (Bonus Track Version),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2019-03-08,208517,73,91,"['chicago rap', 'melodic rap']",0.426,0.623,0.607,0.0,0.105,-5.937,0.0435,84.982,0.263,1,0,4,but my feet in bottega
54,A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2,Hollywood's Bleeding,Post Malone,246dkjvS1zLTtiykXe5h60,2019-09-06,221173,67,89,"['dfw rap', 'melodic rap', 'rap']",0.105,0.632,0.732,1.15e-05,0.111,-3.498,0.092,159.0,0.317,6,1,4,but my feet in bottega
55,"Love You More (with Nate Ruess, Gunna & Jeff Bhasker)",4pUxYUHVKXWsgGhEhOu7R9,Punk,Young Thug,50co4Is1HCEo8bhOyUWKpn,2021-10-15,221913,52,85,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",0.575,0.668,0.376,0.00111,0.103,-10.865,0.0575,137.981,0.246,6,1,4,but my feet in bottega
56,Violent Crimes,3s7MCdXyWmwjdcWh7GWXas,ye,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2018-06-01,215320,81,91,"['chicago rap', 'rap']",0.376,0.669,0.419,0.0,0.187,-6.724,0.522,109.813,0.0397,1,0,4,but my feet in bottega
57,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,Luv Is Rage 2,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,2017-08-25,221746,81,87,"['melodic rap', 'philly rap', 'rap', 'trap']",0.617,0.703,0.757,0.0,0.106,-3.612,0.05,82.008,0.696,1,1,4,but my feet in bottega
58,FEEL SOMETHING (feat. Marshmello),1yP6g2Ka4CisR3i2cuIcjK,F*CK LOVE (SAVAGE),The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,2020-11-06,139040,68,82,"['australian hip hop', 'pop']",0.059,0.523,0.609,0.0,0.14,-7.802,0.191,154.051,0.374,1,1,4,but my feet in bottega
59,I might,2XOf1wURc66u5OvG809rIO,on to better things,iann dior,6ASri4ePR7RlsvIQgWPJpS,2022-01-21,127733,53,76,"['melodic rap', 'pop', 'pop rap', 'rap']",0.0467,0.727,0.657,0.0,0.193,-7.186,0.0456,150.051,0.423,8,1,4,but my feet in bottega
60,Noticed,7zLYKWcXnYeHHWidalz7rj,Northsbest (Extended),Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,2018-10-19,165000,75,71,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap', 'viral rap']",0.462,0.699,0.558,0.0,0.116,-7.622,0.0603,79.992,0.493,11,1,4,but my feet in bottega
61,Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,Thousand Miles,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,2022-04-22,164781,80,82,"['australian hip hop', 'pop']",0.0858,0.376,0.657,0.0,0.0884,-4.658,0.0768,80.565,0.203,7,1,4,but my feet in bottega
62,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg,Hall of Fame,Polo G,6AgTAQt8XS6jRWi4sX7w49,2021-06-11,165925,83,84,['chicago rap'],0.41,0.789,0.536,0.0,0.129,-6.862,0.242,81.039,0.437,6,1,4,but my feet in bottega
63,Denial,4MQnXVR8DJvsySuXYuzUtf,Denial,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,2022-06-08,180000,59,73,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",0.0861,0.656,0.597,0.0,0.122,-7.745,0.298,91.956,0.277,7,1,4,but my feet in bottega
64,Cutlass (ft. ScHoolboy Q),6vBczVPPas3vqNDFX9u7q0,Towards The Sun,AUGUST 08,2iB8eFB6flwQculkUrRssi,2022-05-20,200394,44,55,"['indie r&b', 'la pop', 'r&b']",0.446,0.743,0.756,0.0,0.113,-5.593,0.27,84.488,0.664,10,0,4,but my feet in bottega
65,Pretty Girls,3fKdTr6Uv8HTb92Ih3QWxa,I'm Gone,iann dior,6ASri4ePR7RlsvIQgWPJpS,2020-06-12,133608,64,76,"['melodic rap', 'pop', 'pop rap', 'rap']",0.276,0.732,0.511,0.0,0.0916,-6.779,0.0541,96.946,0.62,6,1,4,but my feet in bottega
66,Chateau,2mbAFKj9gePjW91G1WH3sp,ERYS (Deluxe),Jaden,0xOeVMOz2fVg5BJY3N6akT,2019-07-05,135880,44,69,"['pop', 'rap']",0.251,0.759,0.812,0.0,0.348,-4.257,0.251,139.911,0.229,8,1,4,but my feet in bottega
67,Ring Ring (feat. Vory),4RsLvd1zrcEiyXZmTU3E27,The World Is Yours 2,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,2019-03-22,167335,38,69,"['atl hip hop', 'hip hop', 'melodic rap', 'plugg', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap', 'viral rap']",0.226,0.62,0.616,0.0,0.0598,-6.256,0.148,144.075,0.44,9,1,4,but my feet in bottega
68,The Plan (feat. Juicy J),4Jgt0PEIv2b7hMHoCHPLbQ,O.N.I.F.C. (Deluxe),Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,2012-12-04,294026,48,83,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.275,0.563,0.704,0.0,0.114,-4.76,0.107,120.005,0.372,1,1,4,but my feet in bottega
69,Out Of Love (feat. Internet Money),0IJA9KP6rT55jrP1YpTdhx,Virgo World,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,2020-09-18,153626,73,78,"['melodic rap', 'pluggnb', 'rap', 'trap', 'viral rap']",0.0847,0.732,0.636,0.0,0.241,-6.162,0.0497,138.061,0.358,7,0,4,but my feet in bottega
70,16,1Is8hGpkGMiePASAxBluxM,The Melodic Blue,Baby Keem,5SXuuuRpukkTvsLuUknva1,2021-09-10,156040,79,80,"['hip hop', 'rap']",0.0918,0.701,0.782,2.31e-06,0.124,-4.987,0.138,94.03,0.57,1,1,4,but my feet in bottega
71,Lies (feat. Lil Skies),1hOoLI7psTWFbQ0oCNfcSF,Lies (feat. Lil Skies),Lil Xan,3EXdLajEO02ziZ90P90bSW,2018-07-13,206386,55,60,['emo rap'],0.0262,0.779,0.626,0.00488,0.114,-7.73,0.067,140.078,0.419,10,0,4,but my feet in bottega
72,DnF (feat. Drake & Future),6AaOtHsKd195ec0Y4kC9ER,DnF (feat. Drake & Future),Preme,0bdJZl7TDeiymDYzMJnVh2,2014-08-25,206266,51,60,"['canadian hip hop', 'canadian trap', 'pop rap', 'toronto rap', 'trap', 'trap soul']",0.0958,0.721,0.607,0.0,0.29,-7.078,0.277,76.987,0.59,0,0,4,but my feet in bottega
73,GOTTI,27oFpFktCq9JIXjJQRuv7a,Day69: Graduation Day,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,2018-04-10,166851,65,72,"['emo rap', 'rap', 'trap']",0.0524,0.728,0.584,0.0,0.0658,-7.255,0.176,161.9,0.365,10,0,4,but my feet in bottega
74,Taking Over,5Unr6WoYvsnGYo3NazmkW4,Sometimes Sorry Isn't Enough,Tom The Mail Man,1ueFyDvrq8tCjAd6x8AVxD,2021-04-16,158000,56,56,"['modern indie pop', 'sad rap']",0.0288,0.762,0.516,0.0,0.0966,-8.016,0.0969,156.97,0.721,5,0,4,but my feet in bottega
75,Think About It,47iwiNOjkzDG4I0dLRcHYr,My Head is a Moshpit,Verzache,59KX7XUUgAOOo5IyDjca0T,2021-03-05,142335,39,61,['lo-fi chill'],0.375,0.935,0.56,0.0566,0.0819,-8.249,0.208,95.028,0.66,0,0,4,but my feet in bottega
76,Wishing Well,2U5WueTLIK5WJLD7mvDODv,Legends Never Die,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2020-07-10,194621,81,91,"['chicago rap', 'melodic rap']",0.00336,0.65,0.613,0.0,0.267,-6.13,0.128,149.972,0.0804,9,0,4,but my feet in bottega
77,Doom,1GydGCPNYJnCziQZBLE85q,Fighting Demons (Deluxe),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2022-03-18,217487,67,91,"['chicago rap', 'melodic rap']",0.016,0.62,0.495,1.91e-05,0.102,-7.251,0.0534,85.951,0.122,0,1,4,but my feet in bottega
78,Already Dead,1hB3M3POeKMLxcEFEvPeqU,Fighting Demons (Deluxe),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2022-03-18,231220,76,91,"['chicago rap', 'melodic rap']",0.0216,0.744,0.495,0.0,0.111,-6.311,0.0634,83.51,0.128,1,1,4,but my feet in bottega
79,Die Young (feat. 347aidan),6EbVuwU7EnKeF2hdpViXCH,Die Young (feat. 347aidan),Sleepy Hallow,6EPlBSH2RSiettczlz7ihV,2022-05-25,148816,80,78,"['brooklyn drill', 'nyc rap']",0.827,0.808,0.582,0.0,0.111,-6.26,0.338,77.471,0.675,11,1,4,but my feet in bottega
80,All The Time (feat. Lil Wayne & Natasha Mosley),7JWmo14H5J8aUZ5b18kbev,Late Nights With Jeremih,Jeremih,3KV3p5EY4AvKxOlhGHORLg,2022-03-11,263785,63,75,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",0.58,0.795,0.452,5.56e-06,0.12,-9.369,0.331,109.953,0.0357,9,0,4,but my feet in bottega
