,name,album,artist,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature
39,Guap,Hall Of Fame (Deluxe),Big Sean,2013-01-01,271653,49,78,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.311,0.65,0.723,0.0,0.412,-5.807,0.172,146.076,0.556,1,1,4
40,HEAVEN BELONGS TO YOU,GINGER,BROCKHAMPTON,2019-08-23,89613,51,73,"['boy band', 'hip hop', 'rap']",0.0208,0.68,0.634,2.02e-06,0.479,-8.446,0.36,155.911,0.693,7,1,4
41,IF YOU PRAY RIGHT,GINGER,BROCKHAMPTON,2019-08-23,302360,50,73,"['boy band', 'hip hop', 'rap']",0.399,0.471,0.496,0.00083,0.378,-9.983,0.199,160.093,0.569,7,1,4
42,Majin Buu,Majin Buu,Anoyd,2020-11-17,208675,34,46,[],0.0766,0.787,0.48,0.000414,0.133,-7.447,0.0755,75.974,0.472,8,1,4
43,Big Fish,The Big Day,Chance the Rapper,2019-07-26,186784,43,75,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",0.319,0.822,0.598,0.0,0.109,-6.804,0.37,176.046,0.595,4,0,4
44,10 Bands (feat. Timbaland),ADHD,Joyner Lucas,2020-03-27,214944,50,71,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",0.0741,0.879,0.875,0.000265,0.0926,-5.298,0.0685,130.011,0.784,11,1,4
45,Cash Machine,Big Baby DRAM,DRAM,2016-10-21,181154,46,62,"['pop rap', 'rap', 'underground hip hop', 'virginia hip hop']",0.522,0.745,0.669,0.0,0.154,-3.613,0.129,143.164,0.699,9,1,4
46,Couch Standing,Optimal Music,Nieman J,2020-04-24,193548,35,45,['pop r&b'],0.222,0.955,0.503,0.0,0.11,-9.407,0.115,124.127,0.299,1,1,4
47,Mr. Right Now (feat. Drake),SAVAGE MODE II,21 Savage,2020-10-02,193838,75,94,"['atl hip hop', 'rap']",0.231,0.647,0.667,0.0,0.133,-5.563,0.304,172.08,0.704,5,1,4
48,Baby (Lil Baby feat. DaBaby),Quality Control: Control The Streets Volume 2,Quality Control,2019-08-16,142417,77,67,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0957,0.97,0.463,0.0,0.151,-7.259,0.366,108.003,0.46,10,1,4
49,NASTY GIRL / ON CAMERA,WUNNA,Gunna,2020-05-22,230600,62,85,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",0.204,0.598,0.472,1.54e-05,0.108,-10.991,0.258,120.08,0.522,0,1,4
50,"It Ain't Easy, It Ain't Easy (feat. Nyck Caution, Kirk Knight, CJ Fly & AKTHESAVIOR)",Escape From New York,Beast Coast,2019-05-24,220960,45,46,"['rap', 'underground hip hop']",0.0429,0.809,0.597,4.5e-05,0.117,-7.428,0.202,142.011,0.327,10,0,4
51,Super,From a Birds Eye View,Cordae,2022-01-14,177553,66,67,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop']",0.113,0.899,0.695,0.0,0.112,-4.749,0.346,139.027,0.394,1,1,4
52,Babushka Boi,Babushka Boi,A$AP Rocky,2019-08-28,187105,68,82,"['east coast hip hop', 'hip hop', 'rap']",0.304,0.897,0.743,4.44e-05,0.137,-5.446,0.222,134.979,0.905,10,0,4
53,I Won,I Won [From F9 The Fast Saga Original Motion Picture Soundtrack],Ty Dolla $ign,2021-06-04,175639,57,82,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",0.272,0.762,0.788,0.0,0.114,-4.087,0.174,140.993,0.672,9,0,4
54,Waves,Kawhi Leonard Presents: Culture Jam (Vol. 1),Culture Jam,2021-10-22,146493,46,46,[],0.0361,0.824,0.484,0.0,0.0592,-5.618,0.07,77.039,0.148,1,1,4
55,"Diamonds On Me (feat. Gunna, & Yella Beezy)",MOVIE,DaniLeigh,2020-11-13,228174,49,62,"['pop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'rap latina', 'urban contemporary']",0.257,0.853,0.627,5.1e-06,0.108,-7.007,0.0344,127.011,0.654,5,1,4
56,Real Friends,The Life Of Pablo,Kanye West,2016-06-10,251573,65,91,"['chicago rap', 'rap']",0.262,0.441,0.744,0.000382,0.138,-6.248,0.476,81.396,0.124,6,0,4
57,Crypto (feat. Rich The Kid),Crypto (feat. Rich The Kid),Takeoff,2022-03-11,160948,58,78,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",0.267,0.883,0.606,0.0,0.0952,-4.421,0.238,119.954,0.495,1,1,4
58,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,146419,69,85,"['hip hop', 'rap']",0.0195,0.827,0.571,0.0,0.166,-7.949,0.366,142.034,0.62,11,1,4
59,E-ER (feat. Lil Yachty),FAMILY,DJ Scheme,2020-12-04,163384,71,63,"['dark trap', 'meme rap', 'underground hip hop', 'vapor trap', 'viral rap']",0.074,0.952,0.29,0.0,0.107,-11.459,0.428,130.083,0.394,8,1,4
60,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Revenge Of The Dreamers III,Dreamville,2019-07-05,169146,67,67,"['hip hop', 'rap', 'underground hip hop']",0.0392,0.761,0.586,0.0,0.0558,-5.368,0.359,149.804,0.719,0,1,4
61,Down South (feat. Yella Beezy & Maxo Kream),Folarin II,Wale,2021-10-22,239202,47,71,"['gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",0.123,0.743,0.752,0.0,0.137,-6.143,0.292,180.366,0.473,1,1,4
62,Bam,4:44,JAY-Z,2017-07-07,234973,57,84,"['east coast hip hop', 'hip hop', 'rap']",0.455,0.639,0.788,0.0,0.058,-2.879,0.35,155.913,0.847,6,1,4
63,Guap,Guap,Big Sean,2012-01-01,271760,0,78,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.322,0.65,0.741,0.0,0.422,-5.842,0.184,146.175,0.575,1,1,4
64,Chase The Money,Practice Makes Paper,E-40,2019-07-26,284439,49,69,"['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'oakland hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast rap']",0.00607,0.893,0.776,0.0,0.103,-5.356,0.293,91.987,0.229,11,1,4
65,For The Squadron,For The Squadron,SAINt JHN,2022-02-18,188854,58,71,"['melodic rap', 'rap', 'slap house', 'trap']",0.0178,0.765,0.402,1.84e-05,0.11,-6.387,0.0557,87.054,0.353,6,1,4
66,Lifestyle (with Bas feat. A$AP Ferg),D-Day: A Gangsta Grillz Mixtape,Dreamville,2022-03-31,166775,56,67,"['hip hop', 'rap', 'underground hip hop']",0.12,0.832,0.7,0.0,0.239,-6.005,0.0491,145.937,0.586,0,0,4
67,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",STAY DANGEROUS,YG,2018-08-03,237240,66,76,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.00552,0.745,0.346,0.0,0.0881,-7.709,0.331,203.911,0.112,1,1,4
68,Million Dollars Worth of Game (feat. 42 Dugg),Dope Don't Sell Itself,2 Chainz,2022-02-04,158627,60,76,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0059,0.81,0.68,0.0,0.112,-4.871,0.346,97.02,0.419,2,1,4
69,Blue Notes 2 (feat. Lil Uzi Vert),Expensive Pain,Meek Mill,2021-10-01,230400,53,76,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.152,0.748,0.591,0.0,0.64,-6.234,0.331,74.958,0.192,2,0,4
70,HANDSOMER,HANDSOMER,Russ,2022-02-04,143414,63,77,"['hawaiian hip hop', 'rap']",0.188,0.886,0.651,0.0,0.11,-6.413,0.222,81.985,0.476,8,1,4
71,Sou Sou,85 to Africa,Jidenna,2019-08-23,228604,39,53,['ghanaian hip hop'],0.0301,0.897,0.555,0.0,0.158,-9.043,0.112,119.977,0.535,3,0,4
72,The Setup,Cheers,Obie Trice,2003-01-01,193000,60,62,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",0.143,0.908,0.738,0.0,0.0829,-4.933,0.271,95.954,0.79,1,1,4
73,Get Big,Get Big,Dorrough Music,2010-09-07,225467,47,50,"['dfw rap', 'dirty south rap', 'pop rap', 'southern hip hop', 'trap']",0.00243,0.764,0.538,0.0,0.328,-8.917,0.337,174.169,0.209,2,1,4
74,Scorpio,A Gangsta’s Pain: Reloaded,Moneybagg Yo,2021-10-22,165772,0,77,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.0292,0.736,0.532,8.86e-06,0.0806,-7.151,0.265,84.983,0.273,1,1,4
75,Ain’t No Fun,Ain’t No Fun,Wiz Khalifa,2022-04-06,147204,41,82,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0446,0.899,0.536,0.0,0.0539,-5.493,0.278,82.999,0.719,8,1,4
76,R.I.C.O. (feat. Drake),Dreams Worth More Than Money,Meek Mill,2015-06-29,197133,70,76,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.317,0.727,0.599,0.0,0.219,-6.941,0.327,167.909,0.386,1,1,3
77,100YD Dash (Madden 20 Original Soundtrack),100YD Dash (Madden 20 Original Soundtrack),GRIP,2019-07-24,162909,35,44,"['atl hip hop', 'indie hip hop', 'underground hip hop']",0.133,0.826,0.718,0.000129,0.0957,-6.685,0.317,82.451,0.637,7,1,4
78,25 million,LIVE LIFE FAST,Roddy Ricch,2021-12-17,204626,65,81,"['melodic rap', 'rap', 'trap']",0.019,0.793,0.481,1.09e-06,0.139,-9.258,0.124,132.202,0.395,9,1,4
79,Sandman,LIVE.LOVE.A$AP,A$AP Rocky,2011-10-31,200160,67,82,"['east coast hip hop', 'hip hop', 'rap']",0.143,0.533,0.501,0.000578,0.172,-9.299,0.0436,120.159,0.3,8,1,4
80,Hot Boy,The Last Don,Lil Bam,2020-11-26,170000,29,45,"['alabama rap', 'atl trap', 'houston rap', 'trap']",0.145,0.852,0.429,0.0,0.101,-12.282,0.529,164.047,0.649,9,0,4
81,LLC (feat. Moneybagg Yo),Blockchain,Money Man,2021-11-12,195153,64,69,"['memphis hip hop', 'rap', 'southern hip hop', 'trap']",0.121,0.803,0.495,0.0,0.104,-5.724,0.321,80.972,0.628,11,1,4
82,Wolves (feat. Post Malone),Detroit 2,Big Sean,2020-09-04,199758,76,78,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0978,0.724,0.675,9.41e-06,0.351,-5.267,0.0867,160.048,0.325,2,1,4
83,HOME,IN DIMES WE TRUST,Mike Dimes,2022-03-08,174915,44,64,"['rap', 'viral rap']",0.342,0.895,0.468,0.0,0.213,-5.777,0.378,118.019,0.428,0,0,4
84,Iffy,Iffy,Chris Brown,2022-01-14,173549,54,89,"['dance pop', 'r&b']",0.0144,0.415,0.83,0.0,0.14,-5.621,0.18,194.746,0.485,6,0,4
85,Luigi (feat. Chief Keef),First Quarter,2KBABY,2021-12-10,201363,35,55,"['kentucky hip hop', 'pop rap']",0.0478,0.708,0.459,0.0,0.352,-10.627,0.155,73.97,0.57,7,0,4
86,Diet Coke,Diet Coke,Pusha T,2022-02-08,179533,58,73,"['alternative hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']",0.124,0.69,0.949,0.0,0.0429,-3.13,0.379,163.954,0.757,10,0,4
87,Money Trees,"good kid, m.A.A.d city",Kendrick Lamar,2012,386906,80,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.0703,0.716,0.531,0.0,0.224,-7.355,0.122,71.994,0.344,7,1,4
88,Type a Way (feat. Chris Brown & OG Parker),The Rebirth 2,Eric Bellinger,2019-02-22,181102,61,64,"['pop r&b', 'pop rap', 'r&b', 'urban contemporary']",0.0429,0.777,0.545,0.0,0.0751,-5.009,0.0686,75.01,0.68,6,1,4
89,Money Made Me Do It,Stoney (Deluxe),Post Malone,2016-12-09,224960,60,88,"['dfw rap', 'melodic rap', 'rap']",0.305,0.734,0.429,0.0,0.0659,-6.511,0.16,83.021,0.372,7,1,4
90,Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,2018-12-10,169999,79,90,"['chicago rap', 'melodic rap']",0.186,0.736,0.67,0.0,0.114,-6.702,0.311,130.032,0.845,10,1,4
91,Bounce It (feat. Wale & Trey Songz),Stay Trippy,Juicy J,2013-08-23,260560,56,75,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.00811,0.785,0.572,0.0,0.111,-9.383,0.0859,140.032,0.477,11,1,4
92,Sweet Serenade,My Name Is My Name,Pusha T,2013-10-31,219293,53,73,"['alternative hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']",0.0127,0.722,0.702,0.0051,0.384,-6.688,0.347,150.056,0.424,7,1,4
93,Moonlight,?,XXXTENTACION,2018-03-16,135090,83,88,"['emo rap', 'miami hip hop']",0.556,0.921,0.537,0.00404,0.102,-5.723,0.0804,128.009,0.711,9,0,4
94,LET IT GO (feat. Justin Bieber & 21 Savage),KHALED KHALED,DJ Khaled,2021-04-30,165526,65,79,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.24,0.877,0.444,0.0,0.169,-7.547,0.172,129.06,0.658,8,1,4
95,REPEAT IT (with Gunna),REPEAT IT,Lil Tecca,2021-08-06,190344,67,78,"['melodic rap', 'pluggnb', 'rap', 'trap', 'viral rap']",0.0555,0.681,0.687,0.0,0.062,-7.612,0.332,108.641,0.588,9,1,3
96,Own Brand Freestyle,Own Brand Freestyle,FelixThe1st,2021-10-29,153808,0,51,[],0.16,0.912,0.54,0.0,0.421,-8.038,0.305,128.068,0.619,7,1,4
97,Xanarchy,Xanarchy,Lil Xan,2017-07-07,148950,46,59,['emo rap'],0.196,0.697,0.726,2.42e-06,0.704,-5.204,0.22,161.997,0.85,0,1,4
98,Whatever You Need (feat. Chris Brown & Ty Dolla $ign),Wins & Losses,Meek Mill,2017-07-21,205373,53,76,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0254,0.519,0.57,0.0,0.0821,-7.366,0.202,164.155,0.317,1,1,4
99,Zone 6 (Remix) (feat. Future & 6LACK),SlimeBall 3,Young Nudy,2018-11-02,236946,45,74,"['hip hop', 'pluggnb', 'rap', 'trap', 'vapor trap', 'viral rap']",0.128,0.858,0.406,0.0,0.375,-9.404,0.649,155.918,0.596,9,1,4
